               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067755,             0.20561,             0.03628,             0.34016,             0.21392,             0.17529,            0.070493,            0.074448,             0.17915,            0.039147,            0.007543,            0.007543,            0.007543
                  37,            0.067989,              0.2066,            0.036504,             0.34651,              0.2165,             0.17957,              0.0724,            0.074223,             0.17778,            0.038607,            0.007416,            0.007416,            0.007416
                  38,            0.067906,              0.2063,            0.036468,             0.35712,             0.21783,             0.18418,            0.073324,            0.073606,             0.17589,            0.037703,           0.0072872,           0.0072872,           0.0072872
                  39,            0.067832,             0.20595,            0.036151,             0.36717,             0.21437,             0.18784,            0.075184,            0.073381,             0.17414,            0.037224,           0.0071566,           0.0071566,           0.0071566
                  40,            0.067848,             0.20597,            0.036086,             0.37422,             0.22394,             0.19382,            0.077663,            0.072909,             0.17213,            0.036585,           0.0070243,           0.0070243,           0.0070243
                  41,            0.067774,             0.20564,            0.036055,             0.34076,             0.24562,             0.20178,            0.080437,            0.072466,              0.1704,            0.036124,           0.0068906,           0.0068906,           0.0068906
                  42,            0.067551,              0.2057,            0.036008,             0.37205,             0.23723,             0.20525,            0.080112,            0.072296,             0.16986,            0.035779,           0.0067555,           0.0067555,           0.0067555
                  43,            0.067471,             0.20553,            0.035747,              0.3684,             0.23961,             0.20674,            0.079462,            0.072456,             0.16883,            0.035484,           0.0066191,           0.0066191,           0.0066191
                  44,            0.067309,             0.20442,            0.035439,             0.35807,             0.25052,             0.21102,            0.079868,            0.072449,             0.16693,            0.035137,           0.0064816,           0.0064816,           0.0064816
                  45,            0.067192,              0.2042,            0.035429,             0.36144,              0.2556,             0.21656,            0.080389,            0.072245,             0.16598,            0.034706,           0.0063432,           0.0063432,           0.0063432
                  46,             0.06711,             0.20445,            0.035182,             0.37179,             0.25466,             0.21988,              0.0818,             0.07201,             0.16527,            0.034268,            0.006204,            0.006204,            0.006204
                  47,            0.067124,             0.20462,            0.035027,             0.38077,             0.25167,              0.2237,            0.084088,            0.071877,             0.16588,            0.034207,            0.006064,            0.006064,            0.006064
                  48,            0.067013,             0.20441,            0.034921,             0.41286,             0.24394,             0.22861,            0.085686,            0.071473,             0.16511,            0.033642,           0.0059235,           0.0059235,           0.0059235
                  49,             0.06656,             0.20311,            0.034306,             0.38279,             0.25818,             0.22953,            0.086806,            0.071486,             0.16503,             0.03377,           0.0057826,           0.0057826,           0.0057826
                  50,            0.066444,             0.20316,             0.03407,             0.38598,             0.25771,             0.23246,            0.088767,            0.071653,              0.1652,             0.03397,           0.0056413,           0.0056413,           0.0056413
                  51,            0.066458,             0.20247,            0.034103,             0.37757,             0.25526,             0.22913,            0.088156,            0.071999,             0.16514,             0.03439,              0.0055,              0.0055,              0.0055
                  52,            0.066316,             0.20192,            0.033971,             0.35798,             0.26357,             0.22793,            0.089196,             0.07232,             0.16549,            0.034851,           0.0053587,           0.0053587,           0.0053587
                  53,            0.066236,              0.2016,            0.033733,             0.42137,             0.23792,             0.22662,            0.089776,            0.072306,             0.16623,            0.035257,           0.0052174,           0.0052174,           0.0052174
                  54,            0.066556,             0.20267,            0.034181,             0.38273,              0.2478,             0.22688,            0.091965,            0.072168,             0.16682,            0.035458,           0.0050765,           0.0050765,           0.0050765
                  55,            0.066343,             0.20216,            0.033797,             0.36588,             0.25742,             0.22709,            0.093616,             0.07198,             0.16686,            0.035337,            0.004936,            0.004936,            0.004936
