               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.065737,             0.19957,            0.032722,             0.50513,             0.35342,             0.36359,             0.18542,            0.062321,             0.15232,            0.026431,            0.007543,            0.007543,            0.007543
                  37,            0.065708,             0.19938,            0.032583,             0.51463,             0.35216,             0.36308,              0.1864,            0.062275,             0.15227,            0.026347,            0.007416,            0.007416,            0.007416
                  38,              0.0657,             0.19982,            0.032509,             0.52828,             0.34648,             0.36507,             0.18813,            0.062201,             0.15205,            0.026215,           0.0072872,           0.0072872,           0.0072872
                  39,             0.06565,              0.1993,            0.032405,             0.50605,             0.35588,             0.36565,             0.18817,            0.062137,             0.15205,            0.026085,           0.0071566,           0.0071566,           0.0071566
                  40,            0.065534,              0.1989,            0.032326,             0.51635,             0.35896,             0.37006,              0.1908,            0.062079,             0.15188,            0.025984,           0.0070243,           0.0070243,           0.0070243
                  41,            0.065492,             0.19951,            0.032169,             0.51776,             0.35836,             0.37075,             0.19178,            0.061994,             0.15188,            0.025826,           0.0068906,           0.0068906,           0.0068906
                  42,            0.065513,             0.19885,            0.032102,             0.50058,             0.36212,             0.37081,              0.1911,            0.061977,             0.15167,            0.025845,           0.0067555,           0.0067555,           0.0067555
                  43,            0.065405,             0.19867,            0.032009,             0.51391,              0.3598,             0.37193,             0.19163,            0.061941,             0.15166,            0.025794,           0.0066191,           0.0066191,           0.0066191
                  44,            0.065261,             0.19821,            0.031848,             0.52248,             0.35936,             0.37458,             0.19148,            0.061918,             0.15159,            0.025717,           0.0064816,           0.0064816,           0.0064816
                  45,            0.065198,             0.19858,            0.031736,             0.53271,             0.35778,             0.37394,             0.19414,            0.061826,             0.15161,            0.025617,           0.0063432,           0.0063432,           0.0063432
                  46,            0.065133,             0.19806,            0.031612,             0.52288,              0.3602,             0.37553,             0.19466,            0.061768,             0.15147,            0.025538,            0.006204,            0.006204,            0.006204
                  47,            0.065116,             0.19825,            0.031605,             0.51142,             0.36937,             0.37773,             0.19574,            0.061761,             0.15145,            0.025467,            0.006064,            0.006064,            0.006064
                  48,            0.064946,             0.19705,            0.031417,             0.51288,             0.36712,             0.37823,             0.19659,            0.061695,             0.15135,            0.025411,           0.0059235,           0.0059235,           0.0059235
                  49,            0.064877,             0.19792,            0.031344,             0.52512,             0.36378,             0.37839,             0.19621,            0.061654,             0.15129,            0.025315,           0.0057826,           0.0057826,           0.0057826
                  50,            0.064851,             0.19734,            0.031172,             0.49874,             0.37566,             0.37825,              0.1966,            0.061633,             0.15125,             0.02529,           0.0056413,           0.0056413,           0.0056413
                  51,            0.064772,             0.19709,            0.031123,             0.50864,             0.37692,             0.38225,             0.19841,            0.061576,             0.15108,            0.025191,              0.0055,              0.0055,              0.0055
                  52,            0.064764,              0.1976,            0.031032,             0.53641,             0.36524,             0.38191,             0.19923,            0.061589,             0.15109,            0.025104,           0.0053587,           0.0053587,           0.0053587
                  53,            0.064678,             0.19735,            0.030942,             0.51561,             0.37327,             0.38229,             0.19912,            0.061548,             0.15088,            0.025107,           0.0052174,           0.0052174,           0.0052174
                  54,            0.064701,             0.19732,            0.030824,             0.52514,             0.37104,             0.38361,             0.19995,            0.061455,             0.15092,            0.025073,           0.0050765,           0.0050765,           0.0050765
